INFO:lora-to-gguf:Loading base model: qwen3-4b-instruct-2507-training-cdbee75f
INFO:lora-to-gguf:Using model architecture: Qwen3ForCausalLM
INFO:hf-to-gguf:gguf: loading model weight map from 'model.safetensors.index.json'
INFO:hf-to-gguf:gguf: indexing model part 'model-00001-of-00003.safetensors'
INFO:hf-to-gguf:gguf: indexing model part 'model-00002-of-00003.safetensors'
INFO:hf-to-gguf:gguf: indexing model part 'model-00003-of-00003.safetensors'
INFO:gguf.gguf_writer:gguf: This GGUF file is for Little Endian only
INFO:lora-to-gguf:Exporting model...
INFO:hf-to-gguf:blk.20.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.20.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.21.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.21.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.21.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.21.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.22.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.22.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.22.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.22.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.23.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.23.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.23.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.23.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.24.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.24.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.24.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.24.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.25.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.25.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.25.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.25.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.26.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.26.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.26.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.26.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.27.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.27.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.27.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.27.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.28.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.28.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.28.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.28.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.29.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.29.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.29.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.29.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.3.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.3.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.3.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.3.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.30.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.30.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.30.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.30.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.31.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.31.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.31.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.31.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.32.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.32.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.32.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.32.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.33.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.33.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.33.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.33.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.34.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.34.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.34.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.34.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.35.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.35.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.35.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.35.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.4.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.4.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.4.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.4.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.5.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
